,en_text,fa_text,bart_translation
586,"i'm fucking bleeding, man.",???? ??????? ?????? ???,"?? ???? ??????? ?? ???? ???"
587,yeah.,???,???
588,i love our girl. -how could you not?,???? ???????? - ??? ????? ????? ????? -,?? ??????? ?? ???? ????
589,"she goes away for three days and all we get is, ""good""?","?? ??? ???? ??? ?????? ??? ???? ?? «??? ???» ??? ? ???? ????????? ??????","??? ?? ??? ?? ?? ? ??? ?? ?? ?? ????? ???? ??? « ????? »"
590,"don't look, it's fine.","?????? ?????? ???? ????","???? ???? ???? ????"
591,damn!,! ?????,?????
592,praise the lord.,??? ?? ???,?? ??????? ???? ????? ????
593,you know what? good luck...,…???????? ???? ???? ?????,?????? ???? ??? ????
594,"hey, mrs. carter! - we miss you.",! ???? ???? ????? - ?????? ?????? ??? ??? -,?? ???? ????? ?? ????? ??? ????
595,"well, about time i manned up, right? [ chuckles ]","??? ???????? ???? ?????? ???? ????? ???","??? ?????? ????? ?? ??????? ???? ??????"
596,do you know the kids who live here?,???????? ?? ??????? ????? ????? ?? ?????????,??? ???? ?? ????? ????? ?? ???? ?? ?? ??????
597,"we're truly glad to have you here, dr borgensson.",?? ????? ??????? ?? ??? ???????? ???? ????????,"?? ????? ???????? ?? ?? ????? ????? ???? ???????"
598,i actually just spoke to the lab,???? ?? ????????? ???? ????,?? ???? ?? ??? ?? ????????? ???? ????
599,"no, no, no. not on the lips.","??? ??? ?? ???? ??","??? ??? ??? ??? ?? ??? ????"
600,"hey, sorry, am i interrupting the date?",????. ??????. ????? ?????? ????,"??? ??????? ???? ?????? ?? ??? ?? ????"
601,it's not looking so good.,??? ???? ??? ????,?? ??? ??? ??? ???
602,"okay, she's got to be here somewhere. find her.",". ???????? ???? ????????? ???? ????? ????","????? ???? ?? ???? ????? ????? ????? ??"
603,awooga!,???? ?? ??????,??????
604,i'm sorry!,??????,??????
605,no! no way am i step...,…??! ???? ??? ??? ???,"??? ????? ????? ??? ????..."
606,bring it in!,??? ???,?? ?? ???? ??
607,javi. let's roll.,???? ????,"????? ?????? ???? ????"
608,"got investors, you know.",??????????? ????,"?????? ?????? ?????? ??????"
609,so do i start talking?,?? ???? ?? ??? ??? ????,?? ???? ??? ?????
610,why it was us that made it out of there?,??? ?? ?? ??? ????? ??? ???? ????? ??????,??? ?? ???? ?? ???????
611,but i don't think you realize how privileged this experience is.,??? ?? ??? ?????? ?? ?? ????? ??????? ??? ?? ????? ? ?????,??? ??? ??? ??? ????? ?? ??? ????? ?? ??? ??????? ????
612,i've had thousands of mentors who failed and now hate me.,?? ?????? ???? ????? ?? ???? ?????? ? ???? ?? ?? ??????,?????? ???? ????? ?? ?? ???? ?????? ? ???? ?? ?? ???????
613,"i'm looking at a tall rope due north of us,",…?? ?????? ????? ?? ???? ?? ???? ????,"?? ?? ?? ???? ???? ?? ???? ?? ?????"
614,ow!,??,???
615,"tell her no. - uh, no.","??? ??? ?? - ???? ?? -",??? ??? ??
616,to keep you as a baby forever.,?? ?? ?? ?? ????? ??. ??? ??? ????,?? ?? ?? ??? ?? ????? ???? ????? ???????
617,"we should match, right?","????? ?? ????? ????","???? ?? ?? ?????? ????? ??????"
618,"wait, wait! you can't leave it like this.","?????? ?????? ?? ?????? ??? ????? ?? ?? ???? ? ????","??? ??? ??? ??? ?? ??? ????? ??????? ???? ???"
619,"she was a little older, but i figured, why not?",??? ?????? ??? ??? ???? ??? ?? ??,"??? ??? ?? ???? ??? ?? ??? ????? ??? ???"
620,"uh, it's looking like the inflow is cranking on the right.",?????? ???? ????? ????? ??? ????? ???? ?? ?????,"???? ?? ??? ?? ??? ?? ????? ?? ??? ???? ???? ?? ???"
621,i'm working on it.,???? ??? ??????,???? ???? ??? ?? ???
622,"so small, on a lake.",???? ???? ???? ????,"??? ??? ????? ??? ?? ??????"
623,it's anxiety.,??????? ??????,??? ?????? ???
624,[ leigh ] i'll do it.,. ?? ?????? ????,?? ??? ??? ?? ?? ???
625,hell.,????,???
626,but what?,??? ?? ?? ???? ???? ???????,??? ???
627,maybe stay home? is that okay?,???? ???? ?????? ???? ??????,???? ?? ???? ?????? ????? ?????
628,what's happening? are you his mother?,?? ???? ?? ???????,?? ?????? ??????? ?? ????? ?????
629,"begins to rotate the updraft, forming a mesocyclone.","????? ???? ????? ?? ????????? ?? ?????? ?? ?????????? ????? ?????",???? ?? ??????? ???? ????? ?? ??? ? ?? ???? ?? ????? ?? ???
630,i was just trying to protect her.,???? ??? ????? ??? ?????? ???,?? ??? ?? ?????? ?? ?? ?????? ???
631,cougar. i knew it.,"????? «? ????????» (??? ?? ?? ????? ?????? ????? ?????? ??????)","????? ?? ??? ?? ?? ??????"
632,"see? riley then, riley now. riley then, riley now.",. ????????? ????? ??? ? ????? ??? ????? ??? ? ????? ???,"?? ?????? ???? ??? ???? ???? ????? ???? ??? ???? ???? ????"
633,what about your boss?,???? ? ???,???? ??? ?????
634,real problems. you get me?,?????? ?????? ????????,"?????? ?????? ???????"
635,we're so close.,???? ?????????,?? ???? ????? ?????
636,we... we got assigned to a different high school.,??????????? ?? ???????? ????,??... ?? ?? ?? ???????? ???? ????? ????
637,"sweetheart, i'll talk to mom, and we'll smooth this out. okay?","????? ???,?? ?? ?????? ???? ?????? ? ????? ??????. ?????","?????? ?? ????? ???? ?? ???? ? ??? ??? ?? ???? ?? ?? ????? ?????"
638,but we can't let her know we're excited.,??? ????? ????? ?? ?????????????,??? ??? ????? ??? ?? ????? ??? ???
639,hello?,?????,?????
640,"i mean, here you are,",??? ?? ????,"?????? ???? ??? ????????"
641,"uh, got a cape of 4,000.","???? ??????? ??????? ???? ?????","???? ?? ???? ???? ???? ????? ?????"
642,right. okay.,????? ???????,"?????? ????"
643,thanks. appreciate it.,????? ?????,"??????? ??????"
644,"or a list of all the worst players,",?? ??? ???? ?????? ????????? ?? ????? ????,"?? ?? ????? ?? ?????? ?????? ???"
645,we got a look. i don't like this.,. ??? ????? ????? ?? ???? ?????,"?? ???? ?????? ?? ??? ?? ???? ?????"
646,"bree and grace's team win,",??? ??? ? ???? ????? ?????,"???? ??? ? ???? ????? ?? ?????"
647,"i'm in new york city, on the corner of 14th and 7th.",?? ??? ??????? ???? ?????? ?? ?? ? ? ?? ????,"?? ?? ??? ??????? ????? ?? ???? ?????? ?? ? ?"
648,moonwind.,??? ????,??? ???
649,"once i leave, everything...",",?????? ??? ??? …??? ???","???? ?? ????? ??? ???..."
650,"we're going chasing... uh, we're gonna kill a tornado, right?","…?????? ???? ????? ???????? ?? ?????? ?? ????? ????? ??????","?? ????? ????? ?? ????? ???? ?? ????? ??????? ?? ?? ????? ??????"
651,"it's weighing on her, so let's lighten the load.","? ???? ????????????? ?? ????? ????? ????","??? ??? ????? ???? ?? ?????? ??? ?? ?? ????"
652,"joy, i can't do it.","????? ?? ??? ???????","???? ??????? ??? ???? ????"
653,"oh, and someone named lisa. who's that?",??? ? ?? ??? ?? ??? ???? ???? ????,"???? ?? ??? ?? ??? ???? ??? ????? ??? ?????"
654,"i'll tell you what,",??? ?? ?????,"????? ???? ???"
655,tell her that this one is different.,??? ??? ??? ??? ??? ?????,??? ??? ?? ??? ??? ?????? ???
656,"stay away from windows. no cars, all right?","?? ???????? ????? ?????? ??? ????? ?? ????? ?????","?? ????? ?? ??? ?????? ??? ???????? ??????? ??????"
657,help me!,! ???,??? ??
658,"come on, riley.",???? ?????,??? ????
659,...and join us inside.,? ???? ????? ???? ????,... ? ???? ?? ?? ????????
660,i'm a cat. i can make this.,?? ?? ??? ?? ??? ?? ????,"?? ???? ????? ?????? ??? ???? ????"
661,"and i've heard music before, but i've never felt like this inside.",?? ???? ?????? ????? ??? ?????? ????? ??? ????? ??????,"? ?? ???? ?????? ?? ????? ??? ??? ??? ??? ?? ????? ???? ?????? ????? ??"
662,"it's loud, and bright, and...",???? ?????? ????? …? ????? ?,"???? ???? ? ???? ???? ?..."
663,this is rebecca's kid. he's a year old.,??? ?????? ?? ?????,"??? ??? ????? ???? ?? ???? ???"
664,he was sure someone was after him.,????? ??? ??? ???????,????? ??? ?? ??? ?????? ?? ????
665,"if we don't like their music,",??? ????? ????????????? ??????? ??? ?????,"??? ????????? ?? ???? ???????"
666,animal. meat.,??????. ????,"?????? ????"
667,hi.,????,????
668,dr borgensson is a world-renowned child psychologist,???? ???????? ??? ?? ?????????? ???? ?????? ????,???? ??????? ?? ???????? ?????? ?? ???? ????? ???
669,i was riding with.,??? ??? ?? ??? ???,?? ?? ?? ?????? ???? ???
670,"jason, where's your dad? i need to speak to him.","????? «,????? ??????». ???? ????? ???? ???","?????? ??? ?? ?????? ???? ?? ?? ???? ???"
671,i'm one of riley's new emotions.,??? ?? ??????? ???? ????????,?? ??? ?? ??????? ???? ???? ????
672,"oh, hello! hello.","! ???? ???? - ???? -","???? ????? ????"
673,"shit, my dad could do this in, like, two months.","?? ????,???? ?????? ???????. ??,?? ??? ????","?????? ???? ?????? ??? ???? ???? ????? ?? ??? ????? ???"
674,yeah. no big deal.,???. ?????? ?????,"???? ??? ????"
675,he's insane.,??? ?????????,?? ?????? ???
676,"so, matt went to vermont.",". ??, «??» ???? ??????","????????? ??? ?? ?????? ???"
677,"can sometimes feel unhelpful at first,","??????? ????? ?????? ?????? ???????? ????","???? ????? ?? ????? ???? ??? ????"
678,i'm not good enough.,?? ?????????,?? ??? ?? ?????? ???? ?????
679,"ooh, just turn a little bit right there. - like this?",??? ??? ???? ?? ?? ?????? - ???????? -,"???? ??? ?? ??? ????? ?????"
680,just what this one needed.,????? ???? ???? ?? ??? ???? ????,??? ??? ?? ???? ?????? ?????? ????
681,i want a stormpar radar right there,…?? ????? ?????????? ??????? ?????,?? ?? ????? ???????? ?? ????? ???? ?????
682,thanks so much. bye! -don't miss us too much.,???? ?????. ??????? - ????? ????????? ??? -,"???? ?????? ???????? ???? ?? ?? ??? ?????"
683,or you just take a few minutes. sure.,?? ??? ????? ??? ???? ????,"?? ??? ????? ??? ???????? ?????"
684,"would be very, very different.",",????. ???? ?????? ????","????? ???? ?????? ???"
685,oh...,…???,???...
686,"red and puffy, do we?","???? ??????? ?? ??????","??? ? ??? ??????"
687,"turn that off, joy!",????? ?? ????,"??? ?? ????? ??? ???"
688,"because it seems like no matter what i do, you disapprove.",??? ???? ??? ???? ?? ?? ????? ?????? ?? ????? ????? ??????,"??? ?? ??? ?? ??? ??? ???? ?? ?? ?? ??? ?? ???? ??? ????? ??? ??? ??????"
689,we're doing major renovations.,????? ??????? ????? ???????,????? ??????? ??? ???? ?? ????
690,"fuck, against the wall, or what?",??? ?? ????? ???? ?? ???,"?????? ?? ????? ?????? ?? ???"
691,find your spark? my life was finally going to change!,??????? ?? ???? ???? ?????? ???? ??????? ????? ??????,???? ? ?? ?? ???? ???? ??????? ????? ?? ????? ?? ???
692,the stream of consciousness.,??? ?????,????? ???????
693,"javi, the... the tornado is headed to a small town.","????? ?????? ???? ????? ?? ??? ?? ??? ????","?????... ?????? ?? ?? ??? ???? ?? ???"
694,you got the kid.,??? ?? ?????,?? ??? ?? ?????
695,"no, no.","??? ??","??? ??"
696,how's it going?,???? ??? ?????,????? ????
697,make a trade. make a trade.,??? ? ??? ?? ??? ? ??? ??,"?????? ??? ?????? ??"
698,kate! kate!,! ???! ???,"???? ???"
699,but goofball is still monkeying around.,??? ????? ?????????? ???? ????? ???????????,??? ?????? ???? ????? ????? ?? ?? ????
700,i don't think so. no.,??? ????. ??,"??? ??? ???? ??"
701,"yeah, well, didn't help these people any.","???? ??? ????????? ?? ??? ???? ??? ????","???? ??? ???? ?? ??? ???? ?????"
702,and it was just--,…? ?? ????,? ??? ???...
703,"the data doesn't see what kate sees, remember?","??????? ???? ?? ??? ???? ?? ????????? ??????","???? ?? ??? ?????? ?????? ??? ?? ?? ????? ????????"
704,"yeah, yeah. text me before you start.",???. ???. ??? ???? ??? ???? ???,"???? ???? ??? ?? ????? ???? ??? ?? ?? ???? ?????"
705,"we get you out of that jar,",?? ?? ???? ???? ??????,"?? ?? ?? ?? ??? ???? ????? ????????"
706,permits just came through.,????? ???? ???? ??,?????? ???? ???? ???? ???
707,"when i was nervous, dez gave me this.",???? ?????? ????? ?? ???? ??? ???,"???? ?? ???? ?? ???? ?? ???? ?? ?? ???"
708,why am i in a police station?,??? ?? ????? ??????,??? ?? ?? ?? ?????? ???? ?????
709,i don't want to.,"??? ?????????",??? ?????
710,whoa.,???,???
711,what do these do? - that's a...,??? ?? ??? ??????? - …??? ?? -,??? ?? ?? ??? ?? ?????
712,look at the fucking hair.,?????? ????,?? ????? ????? ???? ??
713,there it is.,?????,????????
714,hello?,?????,?????
715,she doesn't care about any of that.,?? ??? ????? ????? ?????,?? ?? ??? ???? ?? ??? ????? ????? ??? ???
716,"oh, is brandon okay?",??? ?????? ?????,"???? ????? ???? ?????"
717,and we need a whole new branch of research,…? ???? ?? ??????? ????,? ?? ?? ???? ?? ????? ???? ?? ????? ???? ?????
718,are those golf balls or baseballs?,???? ??? ??? ???? ?? ??? ???????,??? ??? ??? ??? ?? ??? ??? ?????? ??????
719,"you got this, kate.",?? ??? ?????? ???,"?? ??? ?? ?????? ???"
720,"look, i can deal with some freaky stuff,",???? ?? ?????? ?? ?????? ????? ???? ????,"????? ?? ?????? ?? ???? ?? ??? ????? ?????? ????"
721,until orcus moves into the house of gemini.,?? ??????? ????? ??????? ?? ??? ???? ??? ???? ???? ???? ????,?? ???? ?? ?????? ?? ???? ?????? ???? ????
722,"good heavens, man. what are you doing in the zone?",??? ????? ??? ?????? ????? ???????,"???????? ???? ?? ??? ????? ????? ?? ????"
723,"no, i got in a fight with archimedes about this.","??? ?? ?????? ??? ?? ??????? ???? ?????","??? ?? ?? ??? ???? ?? ??????? ??? ???? ??"
724,"joe, i have been here for who knows how long,","??? ?? ???? ???? ??????","??? ?? ???? ?? ??? ????? ???? ???"
725,uh...,…??,???...
726,"we see the hook on the radar, but...",…????? ????? ?? ??? ????? ???????? ???,"?? ??? ?? ??? ????? ?? ?????? ???..."
727,"fuck, come on.",?????,"?????? ???"
728,almost.,???? ?????,??????...
729,we don't have any other choice.,??? ??????? ??????,?? ???? ??? ????? ???? ???? ??????
730,go on.,?????? ??,????? ???
731,"well, now help him out sully.",?? ???? ?? ????,"???? ???? ???? ?? ????"
732,"the military, they came up with portable units,","????? ???? ???????? ??? ?? ?????","????? ???? ??????? ??? ? ???? ????? ??????"
733,it's a temperature inversion in the mid part of the lower atmosphere.,?? ??????? ??? ??? ??? ????? ?????? ?????? ?????,??? ?? ???? ????? ?? ??? ?????? ????? ???
734,"will you knock it off with the baby, kid?",???? ?????? ???? ??? ????,"???? ?? ??? ??? ?? ?? ??? ????? ?? ?????"
735,"moonwind, you gotta help me.","??? ????? ???? ??? ??? ???","???????? ?? ???? ?? ?? ??? ???"
736,good idea. ah!,???? ?????,"??? ?????? ??"
737,i'm not strong like you are.,?? ??? ?? ??? ?????,?? ??? ?? ??? ?????
738,"i know. no, she's not.",". ?????? -. ??,??? ????? -","?? ????? ??? ?????? ????"
739,maybe we could drop him and run.,???? ???? ???? ???????? ??? ????????? ? ????,???? ?????? ?? ?? ??? ???? ? ???? ????
740,riley is from michigan.,????? ??? ????????,???? ?? ????? ?????
741,do you really think that i could be a mother?,?? ????? ??? ?????? ?? ?? ?????? ?? ???? ???,????? ??? ?? ???? ?? ?? ?????? ?? ???? ?????
742,he's dead. like what happened in there?,????. ?? ??? ??????,"????? ????? ????? ?? ?????? ???????"
743,hello? hello?,????? ?????,????? ?????
744,"no, going high. oh.","??? ???","??? ???? ?? ???? ???"
745,"if you feel it, chase it.","??? ??? ??????? ?????? ??","??? ??? ???? ?????? ??"
746,hey. mmm. jesus.,??- ???. ?? ???-,"??? ???? ???? ??"
747,"oh, it's bad.",???? ???,"???? ?? ????"
748,"look, i don't like her words,","??????? ?? ??????? ? ??????","????? ?? ?????? ?? ???? ??????"
749,i loved him.,????? ?????,????? ?????
750,it's spilling! we got to hurry!,! ???? ???????! ???? ???? ????,"???? ?????? ????? ???? ???? ????"
751,so he's your responsibility.,???????? ?? ?????,?? ?? ????? ?????
752,"well, leigh's cosmopolitan now, and she understands this kind of thing.","??? «??» ???? ???? ????????? ? ??? ?????? ??? ?? ??????","???? ?? ???? ?? ??????? ???? ? ?????? ????? ?? ?? ????"
753,i don't want to see you struggle like that.,??????? ????? ?? ?? ??? ??? ??? ??????,??? ????? ????? ?? ?? ??????? ???? ?? ???
754,guess we're listening to dandelions now.,??? ??? ???? ????? ?? ??? ???????? ??? ????,??? ??? ?? ???? ????? ?? ??????? ??? ?? ????
755,joy! -give us your hand! come on.,"???? - ???? ?? ???? ??? ??? -","???? ???? ?? ?? ?? ???? ????"
756,when you burned him alive. - fuck you!,???? ???????? - ?? ???? -,???? ?? ?? ?? ?? ???? ???????
757,"strawberry, huh?",??????????,"??? ?????? ???"
758,you know what i'm talking about.,?? ?????? ?? ???? ?? ??? ??????,?? ?????? ?????? ?? ??? ?? ???
759,i just wanted to get in some extra ice time.,???? ?????? ????? ?????? ????? ???,??? ?? ?????? ??? ??? ??? ????? ????? ????
760,that's great progress.,?????? ???? ???,??? ?? ?????? ???? ???
761,you came in at 3:00 in the morning.,?? ???? ? ??? ?????,??? ???? ? ??? ?? ???? ?????
762,oh. so embarrassing.,??? ????? ????? ???? ???,"???? ?? ?????? ????? ??"
763,and that does what to the tornado?,? ??? ?? ????? ?? ?????? ??????,? ??? ?? ?? ?????? ?? ?? ????
764,huh?,????,???
765,we didn't smoke weed. [ chuckles ],. ?? ??? ?????,?? ??? ?? ?? ????? ??? ??????
766,"wow, those guys are jerks.","???? ???? ???????","???? ??? ??? ?? ??? ?????"
767,we got extra weight on the chassis.,???? ???????? ???????? ?????,?? ?????? ????? ??? ???? ?????
768,"okay, she forgot her sax. and now, all you, connie.","????? ????????? ?? ?? ?????? «? ???? ??» ????","????? ???? ?? ???? ?? ?????? ???? ? ????? ??? ??? ????"
769,uh... -hey.,…?? - ???? -,??...
770,i'm a really good friend.,?? ???? ???? ???????,?? ????? ???? ???? ????
771,"so, here's the plan.","??? ?????? ????","??? ??? ???? ???"
772,"let it go, let it go! come on, come on!",! ??? ??! ??? ??! ??????! ??????,"????? ???? ????? ???? ???? ???? ????"
773,"and by the time i got to mentor number 266,",? ???? ???? ????? ??? ???? ?????,"? ?? ??? ???? ?? ????? ?? ???? ????"
774,denton died in a fire in his office.,????? ??? ???????? ?? ????? ???,????? ?? ???? ??? ?? ??? ??? ???? ???
775,money first.,??? ???,??? ????
776,"jason, really, i am truly sorry.",",????? «,?????». ??????? ???? ??????","?????? ?????? ????? ??????"
777,"no, kate!","! ??? ???","??? ???"
778,let's go.,????,????
779,fuck me on this table like you did my brother.,??? ??? ??? ??? ?? ?????? ??? ???,"?? ?? ??? ??? ??? ????? ????? ???? ??? ??????"
780,um-- well--,?? …??,???... ??...
781,look.,??????,???? ??
782,[ todd ] when are you leaving? okay.,?? ????? ???,?? ?????? ????? ????
783,cool. lead the way.,????. ?? ????? ???,"?????? ??? ?? ????? ??"
784,i'm not asking you to. you have to go.,. ?? ??? ??????? -. ?? ???? ??? -,"?? ?? ??? ??? ????? ?? ??? ??? ?? ?????? ??? ???? ?????"
785,"it's flying at us, man!",! ???? ???? ??????? ???,"??? ???? ?? ??? ?? ?? ???? ????"
786,"yeah, i knew him.",??? ?????????,"???? ?? ?? ?? ?? ??????"
787,see you monday.,?????? ???????,??? ??? ???????
788,"thy rod and thy staff, they comfort me.",",????? ? ????????. ??? ????? ???????","???? ? ????? ??? ????? ?? ????"
789,and great at hockey.,???????? ????? ?? ???,? ?? ???? ?????
790,{\an8}there they are.,???????,????? ?????
791,just because you're staying here...,??? ?? ??? ???? ?? ?? ????? ?????,??? ?? ??? ???? ?? ??? ????? ?? ?????...
792,ow.,??,???
793,that's what life on earth is for.,????? ??? ???? ???? ?????,????? ??? ???? ???? ??? ??? ???
794,"i'm scared, joe.",?? ??????? ??,"?? ?????? ??? ??"
795,[ laughs ] okay.,????,????
796,yep. rain is what we need in the updraft.,???. ????? ????? ?? ??? ????? ????? ??? ???? ?????,"???? ????? ????? ?? ?? ?? ??? ?????????? ??? ???? ?????"
797,"great job, dark secret.",????? ??? ?????,"?????? ????? ????"
798,"thank you, friends. i must...",. ????? ?????? …?? ???? ?? ???????,"?????? ??????? ?? ????..."
799,see if you can find a basement!,! ???? ??????? ???????? ???? ???? ??? ?? ??,???? ??????? ?? ???? ????
800,"okay, i'll tell 'em. got to go.","???????? ????? ????? ???? ???","??? ????? ???? ???? ???"
801,i'm... gonna--,?? ????,??... ??????...
802,what?,????,???
803,it's around 4:00 p.m. now...,???? ???? ???? ?:??,????? ???? ? ??? ???...
804,you don't know how long it's gonna take you to get work up there.,?? ??????? ???? ??? ????? ?? ????? ??? ???? ???,??? ???? ???? ??? ?? ??? ?? ??? ???? ??? ???
805,my pouch has just the thing to get us out of here.,??? ???? ?? ???? ??? ?? ????? ????? ?? ????? ???? ??,??? ??? ?? ???? ???? ????? ????? ?? ????
806,but we got here as soon as we could.,??? ?? ??? ????? ??????? ??????? ??????? ?????,??? ?? ?? ?? ????? ?? ????? ??????
807,yeah.,???,???
808,"no, no, wait! no, no, no!",??. ?? ?????. ??. ??,"??? ??? ??? ??? ??? ??? ??"
809,no. you're totally right.,"??? ????? ???? ?????","??? ????? ?? ?? ????"
810,are you okay?,?????,???? ?????
811,oh. yeah.,"???? ???","???? ???"
812,have i ever steered you wrong before?,?????? ??? ?? ?????? ????????? ????,?? ???? ??? ???? ??? ?? ?????? ????? ?????
813,i don't know how to stop anxiety.,???????? ???? ???? ???? ?????? ?? ??????,??? ???? ???? ?????? ?? ????? ???
814,tell her about the fire hawks?,????? ???????,??? ?????? ? ??????? ??? ??? ???? ????
815,"i don't like to work bloody, but guess what?",??????? ?????? ???? ??? ??? ??? ??? ??,"?? ???? ???? ????? ??? ???? ??? ??? ????? ????"
816,"wait, you're right, i did.","?? ???? ???? ?????","??? ??? ?? ?? ????? ?? ??? ??? ?? ????"
817,you're right to quit. i learned about quitting...,?? ???? ?????? …?? ?????? ?????? ???? ??? ?????,"?? ?? ??? ?? ?????? ????? ?? ?????? ??????? ??? ?????"
818,"my classes suck, so--",???? ?? ??????? …. ????? ???,"???? ?? ?????? ???? ??..."
819,are you okay?,?? ???? ?????,???? ?????
820,"but you don't get the data with this,",…??? ??????? ?? ?? ??? ?? ??? ?????,??? ??? ?? ??? ??????? ??? ??????
821,"javi, how's dorothy's gps?","????? ???????? ?????? ??????","????? ?????? ??????"
822,how do they know that you're not?,?? ??? ?????? ?? ???? ??????,???? ?? ?????? ?????? ?? ??? ??? ??? ???????
823,"all right, tyler, we got to make a choice.",??????? ????? ???? ????? ??????,"????? ???? ????? ?? ???? ?? ?????? ?????"
824,ignore that.,??? ???? ???,???? ?????? ????
825,"no hard feelings, right? all right.",?? ??? ?????? ??? ??????,"??? ?????? ??? ????? ?????? ????"
826,huh?,???,???
827,"i'm telling you, joe, it's pronounced yee-row.",???? ??? ???? ?? «???? ????» ?? ??,"?? ???? ??? ????? ??? ??? ????? yee-row ???"
828,not just denton.,??? ????? ??,?? ??? ?????
829,i'm a good friend.,?? ???? ???????,?? ???? ???? ????
830,yeah! there we go!,???! ?????,"???? ????????"
831,problem solved.,???? ?? ??,???? ????? ??
832,we just had tornado genesis.,???? ???? ?????? ??????? ????,?? ???? ???? ??????? ???? ?????
833,we'll have you back in no time.,?? ???? ?? ?? ???????????,?? ?? ?? ?? ?? ???? ???? ???????
834,but circumstances intervened.,??? ????? ???? ???? …,??? ????? ????? ???
835,where'd you get that?,???? ?? ??? ??????,??? ?? ?? ??? ??????
836,gorgeous?,????? ???,??????
837,whoops. i got it.,??????,"???? ??????"
838,really.,?????,?????
839,you did. up here.,???? ???? ??? ????,"?? ??? ??? ?? ????? ???? ????"
840,no. why? you should probably see mel.,"??? ???? - ??????? ???? ??????","??? ???? ?? ???? ?? ?? ?????"
841,"and i swear, the next thing i know...",…? ??? ??????? ?? ?????,"? ??? ?? ????? ??? ???? ?? ?? ????..."
842,remember we used to have addy check in?,????? ???? ??? ?? ??????????? ??? ???? ??????,??????? ?? ??? ?? ??? ?? ??? ???? ? ?? ????
843,no.,??,??
844,you guys used to have in his office.,?? ??? ????? ?????? ??? ???,??? ??? ?? ???? ?? ???? ?? ???? ???
845,"come on, riley. move those feet.","???? ?????? ??? ????","??? ????? ??? ???? ?? ???? ???"
846,i got to get back to work.,???? ?????? ?? ???,???? ?? ?? ??? ??????
847,"joy, are you taking that","????? ???? ??? ?? ??????","???? ??? ?? ?? ?????"
848,"oh, no!",??? ??,"???? ??"
849,"no! you lied to me. stop, mel.",". ??! ?? ?? ?? ???? ????. «?? ??,» ?? -","??? ?? ?? ?? ???? ????? ????? ???"
850,pipin' hot rumors right off the mill!,?????? ??? ???? ?? ????? ?? ?????,??????? ???? ???? ??? ?? ???? ??????? ????? ?? ???
851,"hey, a few of us are just gonna hang out tonight,","??? ???? ???????? ???????? ??? ?? ??? ????","??? ??? ??? ?? ?? ???? ??????? ????? ?????"
852,"yes! sadness, you could do it.","???. ??? ?? ???????","???? ??????? ?? ??????"
853,i know.,??????,?? ????
854,you can meet some of the other fire hawks.,??????? ?? ?????? ??????? ??? ???? ????,?? ????? ?? ???? ?? ???? ??????? ???? ?????? ????
855,"come on, let's go! log in.",???? ???? ???? ??,"???? ????? ??????? ??????"
856,"but i hadn't heard from you, so, you know,",??? ??? ???? ??? ?????? …???? ???? ???????,"??? ???? ?? ?? ??????? ??? ???????"
857,that's... good. good.,??? ???? …????,"???... ????? ????"
858,"to be inside a tornado, kate.",????????? ???,"?? ?? ???? ?? ??????? ???? ????"
859,maybe for you it is.,???? ???? ?????,???? ???? ?? ?? ???? ??? ????
860,aren't those traitors dead to us?,???? ???? ?? ??? ??????? ??? ????? ?????,??? ????????? ???? ?? ???? ????
861,"look, i... i... should really be getting back.","????? ?? …?? …????? ???? ??????","????? ??... ??... ???? ????? ??????"
862,good boy. that's right.,????? ??? ??? ???,"??? ???? ?????"
863,"leigh, you're an adult.",". ?? «,?? ?? ??? ?????»","??? ?? ?? ???????? ????"
864,put 'em on.,????? ??,?? ?? ?? ??????
865,"i'm trying. - well, try harder.","???? ???? ?????? - ??? ?????? ???? ?? -","???? ???? ?? ???? ???? ????? ???? ?? ???"
866,jeb! yep.,! ?? - ???? -,"???? ???"
867,"mom, i'm sorry that i was snarky about the addition--","?????,?????? ?? ?????? …. ??????","?????? ?????? ?? ?? ???? ????? ???? ??..."
868,"we usually talk about jazz,",?????? ?????? ??? ???? ???????,"?? ?????? ?? ???? ??? ???? ?? ?????"
869,"man, the ac's blowing hot air. no. i'm sorry.","???? ?? ???? ??? ??? ????? - ??? ?????? -","???? ?? ???? ???? ??? ?? ??? ??? ??????"
870,i thought for certain i was gonna fly.,????? ???? ????? ?????? ????? ??? ??????,?? ????? ??? ???? ?? ?? ????? ????? ???
871,"all right, guys, it's gonna be a long night.","??????? ??????? ?? ????????? ?? ????","???? ??? ??? ??? ?? ?????? ????? ???"
872,"oh! rocking the red, huh?","???! ?? ???? ????? ????","???? ??? ????? ????"
873,22! don't you walk away from me.,! ?? ???? ?? ???? ?????,"???? ? ??? ?? ?? ??? ?????"
874,"isaac barsi with rosenberg, swinson and velasquez.","????? ????? ?? ???? ???????? ??????? ? ??????","????? ????? ?? ???????? ??????? ? ???????"
875,i gotta get back to my gig.,???? ?????? ??? ???,?? ???? ?????? ??????
876,make a trade.,??? ? ??? ??,?? ?????? ????? ???
877,"make sure you stay hydrated, miss kamen.",???? ?? ???? ???? ???? ???,"????? ????? ?? ?? ????? ?????? ???? ?????"
878,just like me.,??? ???? …,???? ??? ??
879,i'm sorry.,. ??????,??????
